Datum;Uhrzeit;Deutschland/Luxemburg[€/MWh];Dänemark 1[€/MWh];Dänemark 2[€/MWh];Frankreich[€/MWh];Italien (Nord)[€/MWh];Niederlande[€/MWh];Polen[€/MWh];Schweden 4[€/MWh];Schweiz[€/MWh];Slowenien[€/MWh];Tschechien[€/MWh];Ungarn[€/MWh];Österreich[€/MWh];Deutschland/Österreich/Luxemburg[€/MWh]
15.06.2020;00:00;23,07;23,07;23,07;23,07;-;23,07;41,58;2,53;21,6;23,07;22,58;24,01;23,07;-
15.06.2020;01:00;20,65;20,65;20,65;20,65;-;20,65;41,56;1,49;19,01;20,65;20,5;20,5;20,65;-
15.06.2020;02:00;19,06;19,06;19,06;19,06;-;19,06;41,56;1,46;17,76;19,06;17,29;18,94;19,06;-
15.06.2020;03:00;18,02;18,02;18,02;18,02;-;18,02;41,56;1,45;16,41;18,02;17,21;17,69;18,02;-
15.06.2020;04:00;17,4;17,4;17,4;17,4;-;17,4;41,57;1,72;17,47;17,4;18,42;18,63;17,4;-
15.06.2020;05:00;21,36;21,36;21,36;21,36;-;21,36;41,64;8,11;21,4;21,36;22,82;22,82;21,36;-
15.06.2020;06:00;29,93;29,93;29,93;29,93;-;29,93;48,97;10,98;29,24;29,93;35,01;35,01;29,93;-
15.06.2020;07:00;35,28;35,28;35,28;35,28;-;35,28;49,42;34,92;31,92;35,28;40,12;45,13;35,28;-
15.06.2020;08:00;36,05;36,05;36,05;36,05;-;36,05;61,8;36,05;33,99;36,05;41;46,2;36,05;-
15.06.2020;09:00;35,89;35,89;35,89;35,89;-;35,89;62,98;35,89;33,4;35,89;42;43,88;35,89;-
15.06.2020;10:00;34,09;34,09;34,09;34,09;-;34,09;57,07;34,09;32,17;34,09;38;41,91;34,09;-
15.06.2020;11:00;34;34;34;34;-;34;59,48;34;32,47;34;37,13;43,17;34;-
15.06.2020;12:00;34,1;34,1;34,1;34,1;-;34,1;62,94;34,1;32,12;34,1;37,04;44,52;34,1;-
15.06.2020;13:00;33,15;33,15;33,15;33,15;-;33,15;61,8;33,15;31,73;33,15;34;42,41;33,15;-
15.06.2020;14:00;31,9;31,9;31,9;31,9;-;31,9;55,28;31,9;30,91;31,9;31,6;42,24;31,9;-
15.06.2020;15:00;31;31;31;31;-;31;49,36;31;30,92;31;31,63;41,79;31;-
