hours since 2017-03-15-00:00,power_minus[kW],power[kW],power_plus[kW]
0,2867,2867,2867
1,3481,3481,3481
2,2151,2151,2151
3,1471,1471,1471
4,2151,2151,2151
5,3481,3481,3481
6,2151,2151,2151
7,920,920,920
8,920,920,920
9,1471,1471,1471
10,920,920,920
11,920,920,920
12,2151,2151,2151
13,920,920,920
14,2151,2151,2151
15,2151,2151,2151
16,1471,1471,1471
17,920,920,920
18,1471,1471,1471
19,1471,1471,1471
20,1471,1471,1471
21,1471,1471,1471
22,1471,1471,1471
23,2867,2867,2867
24,2151,2151,2151
25,1471,1471,1471
26,2151,2151,2151
27,2151,2151,2151
28,1471,1471,1471
29,920,920,920
30,920,920,920
31,920,920,920
32,920,920,920
33,1471,1471,1471
34,1471,1471,1471
35,2151,2151,2151
36,1471,1471,1471
37,1471,1471,1471
38,1471,1471,1471
39,1471,1471,1471
40,920,920,920
41,920,920,920
42,1471,523,523
43,1471,523,523
44,1471,920,2151
45,2151,1471,2151
46,2867,1471,920
47,3481,1471,920
48,2151,2151,1471
49,1471,2867,1471
50,2867,3481,1471
51,2151,2151,2151
52,2867,1471,2867
53,3481,2867,3481
54,3481,2151,2151
55,3903,2867,1471
56,3903,3481,2867
57,3903,3481,2151
58,4119,3903,2867
59,4119,3903,3481
60,4196,3903,3481
61,4119,4119,3903
62,4200,4119,3903
63,4119,4196,3903
64,4119,4119,4119
65,4119,4200,4119
66,4119,4119,4196
67,4119,4119,4119
68,4200,4119,4200
69,4119,4119,4119
70,4200,4119,4119
71,3903,4200,4119
72,3903,4119,4119
73,4119,4200,4119
74,4200,3903,4200
75,4200,3903,4119
76,4200,4119,4200
77,4200,4200,3903
78,4200,4200,3903
79,4196,4200,4119
80,4119,4200,4200
81,3903,4200,4200
82,3481,4196,4200
83,3481,4119,4200
84,3481,3903,4200
85,2867,3481,4196
86,3481,3481,4119
87,2151,3481,3903
88,920,2867,3481
89,523,3481,3481
90,523,2151,3481
91,2151,2151,2867
92,2151,2151,3481
93,920,920,2151
94,1471,1471,1471
95,523,523,523
96,260,260,260
97,104,104,104
98,104,104,104
99,22,22,22
100,104,104,104
101,104,104,104
102,260,260,260
103,920,920,920
104,920,920,920
105,1471,1471,1471
106,1471,1471,1471
107,1471,1471,1471
108,920,920,920
109,4119,4119,4119
110,4119,4119,4119
111,3903,3903,3903
112,3903,3903,3903
113,3903,3903,3903
114,4119,4119,4119
115,3903,3903,3903
116,3481,3481,3481
117,2867,2867,2867
118,2151,2151,2151
119,2151,2151,2151
120,1471,1471,1471
