time step,reBAP [€/Mwh]
0,48.75
1,54.75
2,37.75
3,47.25
4,46.25
5,40
6,21.75
7,24.25
8,49
9,72.5
10,63
11,32.5
12,48
13,62.25
14,40.25
15,59.5
16,62.75
17,62
18,51.75
19,44.5
20,41.25
21,39.25
22,29.25
23,16.75
24,25.75
25,27.5
26,22.25
27,18.5
28,15.25
29,34.5
30,13.75
31,6.75
32,32.5
33,32.75
34,49.5
35,27.5
36,15
37,32.25
38,70
39,65.25
40,43.5
41,76
42,72.25
43,55.75
44,66
45,59.75
46,61.5
47,58.75
48,25.25
49,31
50,38.25
51,10.25
52,31.75
53,35
54,37
55,34.75
56,40.5
57,39.75
58,43.5
59,34
60,31.25
61,31.5
62,33.25
63,44.25
64,46
65,62.5
66,53
67,36.5
68,53
69,63.75
70,50.75
71,37.25
72,25.75
73,27
74,42
75,52.5
76,60.25
77,45.25
78,19
79,52.75
80,58.75
81,74.75
82,74.5
83,77.5
84,70.5
85,42.5
86,59.5
87,61.25
88,63.75
89,76.25
90,68
91,46
92,33
93,31.25
94,32.25
95,40.75
96,40.75
97,38.5
98,29
99,38.5
100,44
101,67.25
102,57.5
103,37
104,74
105,88
106,81.25
107,79.25
108,33.75
109,32
110,50.25
111,69.75
112,47.75
113,81
114,74
115,67.75
116,32.25
117,59
118,56
119,52.25
120,50.5
121,49.75
122,48.75
123,40
124,59
125,34
126,53.25
127,46.5
128,34.25
129,63.75
130,45.25
131,70
132,68.75
133,48.5
134,80.5
135,32.5
136,49.75
137,71
138,61.75
139,36
140,66.25
141,63.5
142,78
143,68.5
144,54
145,43.5
146,30.25
147,25.75
148,57.5
149,56.25
150,66.5
151,32.5
152,41
153,66.75
154,36.75
155,49.75
156,44.75
157,53.25
158,40.5
159,67.5
160,71.5
161,40
162,68.5
163,67.5
164,42.75
165,62.5
166,71.5
167,48.25
168,59.5
