hours since start,wind_minus[m/s],wind[m/s],wind_plus[m/s]
0,4.8,4.8,4.8
1,5,5,5
2,4.4,4.4,4.4
3,4.7,4.7,4.7
4,5.6,5.6,5.6
5,5.9,5.9,5.9
6,5,5,5
7,5,5,5
8,5.2,5.2,5.2
9,5.4,5.4,5.4
10,4.8,4.8,4.8
11,4,4,4
12,5.1,5.1,5.1
13,3.8,3.8,3.8
14,3.3,3.3,3.3
15,3,3,3
16,3.3,3.3,3.3
17,3.1,3.1,3.1
18,2.9,2.9,2.9
19,3.3,3.3,3.3
20,3.4,3.3,3.3
21,4.3,4.5,4.5
22,4.9,3.6,3.6
23,5.2,3.4,4.9
24,7.6,4.3,3.5
25,7.4,4.9,5.6
26,7.9,5.2,3.4
27,7.7,7.6,4.3
28,7.8,7.4,4.9
29,12.4,7.9,5.2
30,10.4,7.7,7.6
31,10.5,7.8,7.4
32,11.2,12.4,7.9
33,9.1,10.4,7.7
34,8.6,10.5,7.8
35,5.8,11.2,12.4
36,4.5,9.1,10.4
37,3.8,8.6,10.5
38,3.3,5.8,11.2
39,4.5,4.5,9.1
40,3.6,3.8,8.6
41,4.9,4.9,5.8
42,3.5,3.5,4.5
43,5.6,5.6,3.8
44,4,4,4
45,5.3,5.3,5.3
46,2.3,2.3,2.3
47,3.4,3.4,3.4
48,4.3,4.3,4.3
49,3.5,3.5,3.5
50,4.3,4.3,4.3
51,6,6,6
52,4.4,4.4,4.4
53,3.7,3.7,3.7
54,4.8,4.8,4.8
55,3,3,3
56,4.5,4.5,4.5
57,5.4,5.4,5.4
58,5.5,5.5,5.5
59,5.9,5.9,5.9
60,5.8,5.8,5.8
61,5.8,5.8,5.8
62,5.6,5.6,5.6
63,4.1,4.1,4.1
64,4.5,4.5,4.5
65,4,4,4
66,4.4,4.4,4.4
67,3.5,3.5,3.5
68,4,4,4
69,4,4,4
70,4.4,4.4,4.4
71,4.5,4.5,4.5
72,3.8,3.8,3.8
73,3.9,3.9,3.9
74,4.1,4.1,4.1
75,4.1,4.1,4.1
76,4.5,4.5,4.5
77,3.4,3.4,3.4
78,3.9,3.9,3.9
79,3.5,3.5,3.5
80,4.1,4.1,4.1
81,4.2,4.2,4.2
82,4.2,4.2,4.2
83,4.4,4.4,4.4
84,4.1,4.1,4.1
85,4.2,4.2,4.2
86,4.6,4.6,4.6
87,4.3,4.3,4.3
88,3.9,3.9,3.9
89,2.2,2.2,2.2
90,2,2,2
91,3.7,3.7,3.7
92,3.1,3.1,3.1
93,2.6,2.6,2.6
94,2.9,2.9,2.9
95,2.2,2.2,2.2
96,2.2,2.2,2.2
97,2.1,2.1,2.1
98,2.7,2.7,2.7
99,3,3,3
100,3.7,3.7,3.7
101,3,3,3
102,3.3,3.3,3.3
103,3.3,3.3,3.3
104,3.3,3.3,3.3
105,2.9,2.9,2.9
106,3.5,3.5,3.5
107,3.9,3.9,3.9
108,4,4,4
109,3.8,3.8,3.8
110,4.2,4.2,4.2
111,5.4,5.4,5.4
112,4,4,4
113,4.5,4.5,4.5
114,4.8,4.8,4.8
115,4.3,4.3,4.3
116,3.3,3.3,3.3
117,3.5,3.5,3.5
118,3,3,3
119,3.1,3.1,3.1
120,3.1,3.1,3.1
121,2.6,2.6,2.6
122,3,3,3
123,1.9,1.9,1.9
124,2.6,2.6,2.6
125,2,2,2
126,2.9,2.9,2.9
127,3.5,3.5,3.5
128,3.5,3.5,3.5
129,3.4,3.4,3.4
130,3.5,3.5,3.5
131,4.3,4.3,4.3
132,3.5,3.5,3.5
133,4.8,4.8,4.8
134,5.2,5.2,5.2
135,5,5,5
136,4.7,4.7,4.7
137,4.3,4.3,4.3
138,4.5,4.5,4.5
139,5.6,5.6,5.6
140,4.8,4.8,4.8
141,3.9,3.9,3.9
142,3.4,3.4,3.4
143,4.2,4.2,4.2
144,3.5,3.5,3.5
145,4.4,4.4,4.4
146,3.6,3.6,3.6
147,3.8,3.8,3.8
148,4.4,4.4,4.4
149,4.2,4.2,4.2
150,3.3,3.3,3.3
151,3.9,3.9,3.9
152,4.2,4.2,4.2
153,4.2,4.2,4.2
154,5,5,5
155,4.7,4.7,4.7
156,4.2,4.2,4.2
157,4.4,4.4,4.4
158,4.3,4.3,4.3
159,4.7,4.7,4.7
160,4,4,4
161,5.2,5.2,5.2
162,6.4,6.4,6.4
163,6.3,6.3,6.3
164,5.9,5.9,5.9
165,5.7,5.7,5.7
166,5,5,5
167,4.4,4.4,4.4
168,4.4,4.4,4.4
